;mean;std
31;0.2062432694876251;0.19431275122529862
30;0.18909034339745265;0.1976123621482864
29;0.20737925348305583;0.19284971948323978
28;0.17701926815900093;0.1896621066242249
27;0.20385481874391143;0.1952204327120082
26;0.23719538650880223;0.18353419982630773
25;0.2198052877789745;0.19225864278123556
24;0.2272029129899706;0.18671652453389043
23;0.26216654113065824;0.18993827345502917
22;0.2713569329712915;0.1854103465876361
21;0.25187545065195366;0.17966921779742645
20;0.2647313898133062;0.17165664449330853
19;0.2264011013713895;0.17535702965658517
18;0.2212113269244821;0.18946729406707297
17;0.23665301103283767;0.17230766244826448
16;0.2163445092221337;0.1862927545986
15;0.19729274246448217;0.19740904611706198
14;0.21267945576540728;0.1799148565289024
13;0.2263087327609243;0.1800573986101199
12;0.20225514751615642;0.18613251075947598
11;0.2158215805809823;0.18558419486033262
10;0.19934041949193845;0.18439566811115993
9;0.20408883593643867;0.1793216619521671
8;0.21559317317441123;0.19232972877256652
7;0.22640654764040669;0.18936296876438496
6;0.1972163408821994;0.1829218733125389
5;0.25994810192118484;0.18561159250890183
4;0.2152673375924947;0.18887852326939863
3;0.28198438418745736;0.17200142877911948
2;0.21338537441079533;0.19910179131468672
1;0.25742629042068615;0.17871333866673353
0;0.11122397970362233;0.20670681051207043
