text;attention
Endorphins;0.04775510015305039
and;0.006007751255123469
morphine;0.017950043491356052
are;0.005749918752465563
both;0.00751606149201447
used;0.005980086814097732
to;0.005260603531162083
relieve;0.007863134364282657
pain,;0.01296674285461881
but;0.006437964784195325
their;0.006832120778385622
effectiveness;0.0061799877272044465
and;0.005637879536392244
potency;0.008444209078191371
differ.;0.017936094130823536
On;0.004575223391908216
a;0.0056603413089948125
scale;0.007389845697846987
of;0.005317726610381501
1-10,;0.1868792857384374
endorphins;0.026821776618819057
can;0.005353197288450296
provide;0.006323432805170432
pain;0.006703162769249371
relief;0.00603960153875859
ranging;0.006125555622398961
from;0.004707371191862115
4-8,;0.03712541090739501
depending;0.006292082473385357
on;0.004944823932801708
the;0.0045649543804473156
individual;0.006356654326228605
and;0.005206750267337366
the;0.004759899163070482
severity;0.00643998219065059
of;0.003859560674945968
their;0.003950635201920032
pain.;0.013189801473608298
Endorphins;0.016225915609534847
are;0.005839711776183162
naturally;0.005895080377751253
occurring;0.006332165710603757
substances;0.007403045779511646
in;0.004272931836886013
the;0.00372657136319045
body;0.0046082452958609126
that;0.005200404758097932
provide;0.005312050014537619
a;0.004329135623382872
feeling;0.0046195680128980465
of;0.00487781720798438
pain;0.0042314745416719085
relief;0.004520939451323116
and;0.004097379993536268
well-being.;0.01620126696264956
Morphine,;0.04693934023650069
on;0.004593425445552829
the;0.004331706172659762
other;0.004105816432098298
hand,;0.009747951443974815
is;0.004872355798818001
a;0.005206061964299003
highly;0.004808427280028018
potent;0.007087715045683751
opioid;0.007819330795804769
drug;0.0046768223033305835
and;0.004670688027300145
can;0.00523991135712325
provide;0.005410446315824808
pain;0.004191325361090073
relief;0.004624283544765416
ranging;0.004603807073599177
from;0.004155605062478784
8-10.;0.0300227771934469
However,;0.009052255383435
it;0.005176790288497328
is;0.004535851884121759
a;0.004195409948711652
controlled;0.0046661714489009964
substance;0.004841853691341794
and;0.004847161732563037
should;0.0047900622820103295
only;0.004414633976153874
be;0.003937929366118515
used;0.0049059634341477205
under;0.005059259332468159
the;0.003953612153555862
supervision;0.004817978824410023
of;0.003938565975175675
a;0.0036756838048588258
healthcare;0.003693308324788252
provider.;0.007930306995779117
It;0.0038770083390972866
is;0.0036636141790949007
important;0.004936249591695337
to;0.004034169906828063
note;0.004385184812408153
that;0.005445792411915114
pain;0.004903554499728853
tolerance;0.00527012920910997
and;0.004581006608107505
relief;0.004002445203024418
vary;0.005302279797060158
from;0.004280548142454243
person;0.0039712522430014234
to;0.0035537399524701407
person,;0.005304421640983846
and;0.004334097541032504
the;0.0036684602470273696
above;0.004586474267022423
ratings;0.004428491591936071
are;0.004035337726590124
only;0.0038227128371731357
general;0.0036833517047550135
estimates.;0.003590603213030958
