;mean;std
31;0.21567821963691253;0.1590611477981279
30;0.17838683744086953;0.16426747838249928
29;0.14376613988975956;0.17336387521087251
28;0.18898029882497852;0.1572092888978961
27;0.19692563916166775;0.15453386269635777
26;0.20365356251999378;0.16219542924084826
25;0.21304875745268145;0.1609998450940886
24;0.2164005530597978;0.15485268580744804
23;0.19898599292786118;0.15622035729068498
22;0.20060143536811575;0.15651447185456724
21;0.19343288483288795;0.15628483421861672
20;0.20960829449770124;0.1497399519197178
19;0.23198842489479016;0.14985643070525387
18;0.2133220971216883;0.15343783254442425
17;0.22876152470019717;0.15923237136335933
16;0.22575495383859154;0.15666500331718047
15;0.2193953083458257;0.1578488612317057
14;0.19950329337139924;0.15900004914811505
13;0.18871744571448693;0.16256136159374715
12;0.21720404608410288;0.16123146780645015
11;0.17641535541636227;0.16928053632176493
10;0.19793614068830673;0.16404385368308824
9;0.20034790114928502;0.17347731070135347
8;0.20460765639553322;0.15997775946930207
7;0.21699574450033157;0.16541648928273509
6;0.19359574362500317;0.16219172147992553
5;0.18266194370006758;0.16294662782240055
4;0.22943409993491934;0.15717378219312075
3;0.23777288581184436;0.16977044480892853
2;0.1507258661686063;0.16213970398979086
1;0.18819962026804996;0.16614900999887375
0;-0.048507547846979165;0.17219750154743807
