;mean;std
31;0.21804676997114278;0.16730068592094308
30;0.16788538065742517;0.17591227414234994
29;0.1339720974458891;0.18235235460892005
28;0.18304500795197562;0.1718129269232834
27;0.1765754549386605;0.1748131270986983
26;0.1983194501234043;0.18525977060135593
25;0.20096263864573585;0.17545972113288458
24;0.1965242633927011;0.17458897590864259
23;0.18574827799259241;0.16702025883979862
22;0.18933889929522374;0.16272823970162797
21;0.19331425897035584;0.17267306304555302
20;0.1983726869676639;0.16938905648867836
19;0.22134534455419916;0.15373201281950025
18;0.20531222728228568;0.17030207585452337
17;0.2172221342421339;0.16369947375908797
16;0.21433618911563768;0.15990622944178967
15;0.2069360270115326;0.16490291143282354
14;0.19072688828621748;0.165388223503506
13;0.17784486123639287;0.17065979546729224
12;0.19909237547590794;0.16592771537435286
11;0.1598052321344321;0.1832296774553188
10;0.1971127920854222;0.17444508746011325
9;0.18973453115178043;0.17764301029759655
8;0.18892488576897373;0.1664942157127753
7;0.20792240098900844;0.17666537865225568
6;0.18466709695099137;0.16529395220769472
5;0.1736128617356198;0.1698116049120188
4;0.21647442241109222;0.16965560835271923
3;0.2314597575028092;0.17886937987820314
2;0.1395572868171234;0.16049247437485686
1;0.17662830748630687;0.1698691135000637
0;-0.0676930044734328;0.19024216458276438
