;mean;std
31;0.24017113115567837;0.1820832002695844
30;0.18922296824024387;0.19544589347861055
29;0.16042097526342078;0.20111987956846009
28;0.21315036675847143;0.18984517044581767
27;0.19927325052780775;0.19420300645295666
26;0.23386386088861566;0.18995056445065037
25;0.23468876150550427;0.19066579171928213
24;0.22321288801230066;0.18885252207267247
23;0.2156358288211519;0.18286161540459853
22;0.21409381991514154;0.17786561546194923
21;0.22527525391526254;0.17943512770157724
20;0.226586713149132;0.17712338453182272
19;0.24240877099444016;0.16404300910565886
18;0.23079070770122456;0.1692324271383651
17;0.2421465288465901;0.17079719062689727
16;0.24189190121322632;0.1702515724156624
15;0.23700722220895554;0.17382088224140824
14;0.22151401902961368;0.17160868101019186
13;0.20655628227022235;0.18281905807237978
12;0.23019963870626822;0.17255867796553756
11;0.1861311831504575;0.18533553542016162
10;0.22691745686921164;0.1744770715460115
9;0.21933586262001914;0.18140782866592886
8;0.21853580033683206;0.18000909261350498
7;0.2370274915190615;0.1804687494830704
6;0.215560099179956;0.17502247642160837
5;0.20046330345163693;0.17848747730144987
4;0.25224311240549263;0.17673536639833062
3;0.26505964771737694;0.18389166225971076
2;0.17618591000205966;0.17158031568032645
1;0.2054788770219267;0.1830625021735278
0;-0.05392270780753214;0.21036923513995162
