text;attention
I'm;0.02318683121246077
sorry,;0.02296175118386292
but;0.017940408791985215
I;0.014437406852673692
don't;0.015541517052236891
have;0.014488337402397865
access;0.015652819634162603
to;0.015121619592486904
real-time;0.020556513305661144
bus;0.018614175988821407
schedules.;0.03772192277395332
To;0.014829422513984022
find;0.015451142688305226
out;0.016058970380795574
when;0.017570950626865808
your;0.016050026981557344
next;0.018161636603423542
bus;0.019658685845750763
is;0.01583753449147143
scheduled;0.015762424482704013
to;0.014168767281258961
arrive,;0.021171634189644673
you;0.014257980664391557
can;0.014417614323828588
try;0.01528706193153467
checking;0.0163476921105153
the;0.01429395750479483
website;0.016782058373350464
or;0.0152621137041513
app;0.015729655002225302
for;0.015628395779341275
your;0.014172504583143704
local;0.014590136332462679
transportation;0.015396018199361849
authority,;0.018250787332976942
or;0.014756965202040055
look;0.014143781915547233
up;0.01497510784010432
the;0.013816706291286533
bus;0.014931489445665651
schedule;0.014794755562940812
at;0.01442982472096555
the;0.013364469960745624
bus;0.013664072808181998
stop.;0.017430289626823154
You;0.013456431158624438
can;0.01377758105932796
also;0.01400243665894328
try;0.014187529822565652
calling;0.01613393142204768
the;0.013984571756474353
transportation;0.014047951558144587
authority;0.014311577207511432
or;0.01440692981999002
the;0.013745145252752704
bus;0.013727743928897002
company's;0.0159336743862274
customer;0.013417365311086499
service;0.013568596749197503
hotline;0.013893969540576489
for;0.013526237425695475
more;0.012966549703412468
information.;0.013243838145681482
