;mean;std
39;0.24207699733535437;0.19330180710212042
38;0.1744019567812236;0.19448558104855787
37;0.1680646172677084;0.1917560486172131
36;0.15896963505074832;0.19574998009194752
35;0.17509850391905654;0.19144313915007868
34;0.16879079487124285;0.19611414799414378
33;0.1782942180153755;0.18986118433094482
32;0.17559919355293596;0.1904635952414357
31;0.18129960353336946;0.1887375348868193
30;0.1780774631531446;0.18947678832420578
29;0.19830609958748413;0.18683187117743608
28;0.20315222642300293;0.1908159313632312
27;0.19638511635932515;0.18850333461573224
26;0.18370288619344716;0.18685263714522896
25;0.19621312849690983;0.18798116349038052
24;0.1910577700749203;0.19316427144981166
23;0.22068421380263448;0.19143547211823367
22;0.18682053933044457;0.19286548996804037
21;0.22949092178936484;0.1929310893260259
20;0.2250233980376311;0.19396734028929224
19;0.2392625949625486;0.1888092920181047
18;0.25268822208970365;0.1857646281492731
17;0.25044984010972926;0.1892030720238782
16;0.24028385838913954;0.1841644139156054
15;0.25034984439680774;0.1718885987368334
14;0.25521383479409976;0.17675152291910123
13;0.2462411709947339;0.17793922430105025
12;0.2581807507187782;0.17056987484481562
11;0.24470684512273033;0.17361932176660527
10;0.24558504885969049;0.172569076864917
9;0.25334439009741333;0.18224202584490565
8;0.269808813054259;0.17797395246278458
7;0.2639686854427364;0.17988667308944215
6;0.279259961329022;0.17582161681349723
5;0.2692641246793919;0.17381216778758518
4;0.2645639212534317;0.18447415223444433
3;0.24159117320555945;0.18374554365748086
2;0.2853699506818071;0.17292592982720023
1;0.20613576221144286;0.1818323833910802
0;0.05855375231733866;0.20896173905888044
