;mean;std
11;0.28526950353220065;0.17594719238340895
10;0.25458778029101914;0.18193152465630874
9;0.2373356050408403;0.18807370551555816
8;0.20495001483077227;0.18979267221336718
7;0.16260157458678068;0.18997185982484896
6;0.2646758651108991;0.1757361141066721
5;0.2380758645606485;0.1802185873696649
4;0.20722621500744998;0.17777845735735115
3;0.12582819200929646;0.18823213243509423
2;0.13930223621883508;0.19791284829908465
1;0.0715633428068883;0.21858877770435609
0;0.37111615520558106;0.18302643463484283
