;mean;std
11;0.19753186150540755;0.201307610866232
10;0.2099724176085506;0.18928932579717167
9;0.28339680461683303;0.18636238627829074
8;0.14711359627394727;0.2092340528850053
7;0.135312889123041;0.18926152459871856
6;0.19294215688269328;0.18597614448432045
5;0.19993106238106706;0.17672344576885177
4;0.2441049835331589;0.19715624456694167
3;0.19355465703546437;0.19632279872891498
2;0.1520003615131283;0.2167730417365023
1;0.07009223494884777;0.23520681232849674
0;0.38614466310608164;0.18551895155669196
