;mean;std
23;0.15515010301923432;0.19410349268881932
22;0.08003362043364451;0.1988397561471459
21;0.1583934325130997;0.1968857149079228
20;0.19769374400786596;0.19300716848563226
19;0.17838996384377825;0.1810940975642326
18;0.17619121908230553;0.1862301715201778
17;0.16014703008133374;0.185068039697832
16;0.16167992505142306;0.1867756519899027
15;0.11574629867908079;0.18632635103785267
14;0.19584392570501313;0.17930486867816933
13;0.26937186990060824;0.17132293900548856
12;0.1558867884866912;0.18954015618107642
11;0.08204733899696887;0.19691685504780393
10;0.0036591430523859295;0.22298020043809863
9;0.010620125311290272;0.21731699319057513
8;0.01922096074923181;0.20939206439822017
7;0.08140357606893843;0.17847849601364318
6;0.021319730760248373;0.1990441250636229
5;0.012463179913572287;0.20130423085646748
4;-0.04692810095154889;0.2141851423482233
3;-0.05185924642611622;0.2208866619890416
2;-0.05829174537471474;0.2184222810567716
1;0.1033752530646323;0.20118801391785934
0;0.3675356896948684;0.17027907193833752
