text;attention
The;0.016947712432606496
European;0.004315871399121771
Union;0.003553391454016893
(EU);0.013945640301019305
is;0.006041439435225504
an;0.0055450465329674676
economic;0.0036682276920956243
and;0.007371602727968623
political;0.003623014309291969
union;0.0036335684778667707
of;0.008533945624922273
27;0.0032489642584027723
member;0.0033771996156446026
states;0.004172410805277354
located;0.0038915650430284086
primarily;0.003514673126455814
in;0.005808186721240978
Europe.;0.10056753536240347
It;0.004066715819109863
was;0.0047095588745104
created;0.003836570106047853
with;0.005093090251926553
the;0.014638329019269637
aim;0.003572286296041002
of;0.006798809568220265
promoting;0.0037418688062619224
peace,;0.039600436997660055
prosperity,;0.03318021036191003
and;0.008904543102026465
cooperation;0.0034741288873125346
among;0.003615195920664595
its;0.004045836960844877
members;0.0036411408700616557
through;0.0038420763748063364
common;0.003462911396261717
policies;0.003525076515533509
and;0.007870739154428954
institutions.;0.10012043783487434
The;0.01658056551646696
EU;0.003609139262473417
operates;0.0035686457533097462
through;0.0038350421593345355
a;0.007950361623736786
complex;0.003500546401403138
system;0.0036166806842043552
of;0.006493870628674222
decision-making;0.01010497745802929
and;0.008144525397280061
governance,;0.02680914849559469
with;0.0050140730199901146
various;0.003558672655403674
institutions;0.0035255564415727623
such;0.0037018841029719733
as;0.0046850418410143875
the;0.017744481664834538
European;0.003816328913323444
Commission,;0.022725665310823734
the;0.015710708955803954
Council;0.0034969946020651046
of;0.006277725817528333
the;0.015403875961311
European;0.004223461094115008
Union,;0.020188899157923212
and;0.006517497366883195
the;0.01323343272172257
European;0.0038299271827035557
Parliament.;0.0604235650713031
The;0.01585850567104635
EU;0.0034445010368396208
also;0.0036060585328538033
has;0.004573554514575444
its;0.003695330112653254
own;0.003725077767433832
currency,;0.03854268939001557
the;0.020580131271283265
euro,;0.03715472977075966
which;0.0038624260411486014
is;0.004078136152998376
used;0.003685987659539146
by;0.0048098996949950965
19;0.003270870550544183
member;0.003223789470691907
states.;0.07409705866349243
