text;attention
Here's;0.004153674170166572
the;4.0588382560555284e-14
rewritten;4.6350373635934926e-14
code;4.5536940825991e-14
without;4.812115946171236e-14
using;4.707680905481985e-14
a;4.093990860132898e-14
list;5.001317443499913e-14
comprehension:;6.762458792796452e-14
*self.idx_to_token;0.9958463258277486
=;9.083475655715296e-14
sorted(set(['<unk>'];5.99109316176372e-13
+;5.254179015658926e-14
reserved_tokens));2.0025670553919688e-13
for;5.052158558011511e-14
token,;6.576858316535521e-14
freq;9.608508145060745e-14
in;5.292626223732515e-14
self.token_freqs:;1.7252173130270244e-13
if;4.5355729625067583e-14
freq;4.3306167274134557e-14
>=;4.976346003913935e-14
min_freq:;7.520132370049625e-14
self.idx_to_token.append(token)*;1.0444521116091698e-13
