;rejected;chosen;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.2893736614818162;0.3400219472903001;0.1686220294032425;0.3637226944444871;0.4125154364453871;0.2419140376728965;0.3897176375518268;0.3176071195025251;0.3832852588633085;0.2960017532151;0.3028491927534897;0.2445570607680153;0.3518896035198678;0.2942754520401867;0.2465720631634989;0.2460076668164176;0.4383121925069251;0.2484425993358607;0.3378647237491243
2;0.3018822819591094;0.2736762446310211;0.1590302003641714;0.2818482432989172;0.3402733151092322;0.2259229584827188;0.3341699556787572;0.238106004362948;0.32334202037948;0.2538121168941896;0.2584937991577926;0.2309150111544265;0.2778607904897093;0.2670933878337828;0.238971505191712;0.2412710118667836;0.3350018611743222;0.233141670678222;0.2819467216978993
3;0.2497945295509408;0.2774627014665468;0.185410110822761;0.2892902342103792;0.3648144999316351;0.2411303639752894;0.3519196205633437;0.2595170597066401;0.3730790223563269;0.2680528647023799;0.2532995803634443;0.238236827670464;0.2940589343579209;0.2659988558789891;0.2443756123138856;0.2385058883035115;0.3592844203368853;0.2391808724519845;0.2935501660816749
4;0.2083061903807017;0.337214437539313;0.2213465541039375;0.2884655203006037;0.3581323028835735;0.2709554177443018;0.3160783565847078;0.304881180028152;0.2776299129587506;0.3047350469846693;0.2678385699040388;0.2713654784335969;0.2749435459448925;0.2856012857354572;0.2686514195444749;0.2741186099926394;0.3300234913329484;0.2725784026263479;0.2854946480754257
5;0.1482464654827141;0.3086987126475163;0.17831421509532;0.2891641201464119;0.3489164012962905;0.241150474287829;0.3291038005987215;0.2425841377214193;0.3297956991021714;0.2398982001321702;0.2409935244068878;0.2394974615373232;0.2464833392621241;0.233260378605615;0.2369347441271221;0.2418655949176335;0.3647104844486909;0.2374449779087876;0.2328496089589949
6;0.2682591131568536;0.3194201534948185;0.1996702869276309;0.3539068044945868;0.3867309367536666;0.2645946525287252;0.3890892125158003;0.3061275953575059;0.3956818139975389;0.2982923919262317;0.2818427097865372;0.2636202855091655;0.3159026985216432;0.2833315742651642;0.2683395220359261;0.264508981336183;0.3872088398658768;0.269360212154875;0.3131615707636571
7;0.2585066421036273;0.2653791382386607;0.1936128027556763;0.3305038748117017;0.3830587137994152;0.236981017014126;0.3815721319999114;0.2698770217993835;0.3663141732188543;0.2739196598555602;0.2507127847903016;0.2503716354610202;0.2696402370500313;0.2757800176442942;0.2494593132622127;0.2519380044087419;0.383572564898433;0.2493947885583138;0.2725067843586677
8;0.3855183703009442;0.4923102246822152;0.2948881770449297;0.3659263866255089;0.4870744881133507;0.4082247406884352;0.3772134671440842;0.4229205063992391;0.4133060419653424;0.4500695077510111;0.4442614285213951;0.4043885461163783;0.4171395822265831;0.4585376617355076;0.4040287889834642;0.4019753068706796;0.4736875703408335;0.4061798555667175;0.4091020405575301
mean;0.26373590680208836;0.32677294499879894;0.20011179706470866;0.32035348479157455;0.38518951179156885;0.26635920779929023;0.3586080228296441;0.2952025781097266;0.3578042428552216;0.298097692682664;0.2875364487104859;0.2678690383312987;0.3059898414215965;0.29548482671737464;0.26966662107778705;0.27002388306407377;0.38397517811311443;0.2694654224101386;0.3033095330303717
std;0.06927774322245818;0.07278917936344399;0.04283937804638542;0.037078741143605036;0.04722984495432297;0.059182258108973394;0.02949975644517431;0.05972606878454197;0.04451360394946592;0.06544308326777491;0.06628454807414381;0.056777856357590625;0.055186822737888296;0.06841964342377037;0.0556145907332806;0.054739953560996854;0.04971544074336068;0.057080400881675354;0.05246165103481609
