;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
0;-0.3218682934058737;-0.1414790775594214;-0.0673130113943369;-0.217575126276488;-0.1352246807565626;-0.1498776022729641;-0.1420327680709334;-0.033347681900722;-0.25;-0.2143135833158048;-0.1422310021847099;-0.0604627707120008;-0.25;-0.2113028491061461;-0.0891750796470704;-0.2235878984727825;-0.2466488920549918
1;-0.3214285714285715;-0.1352246807565626;-0.0499865752579496;-0.2161095071983394;-0.1292986092519714;-0.1397827421906157;-0.128686378463474;-0.029335285206462;-0.2228337733916954;-0.2113028491061461;-0.1411149174021652;-0.0495816182327001;-0.2389625708637601;-0.2041241452319314;-0.0854032527929764;-0.217575126276488;-0.2041241452319314
10;-0.25;-0.0714285714285714;0.0;-0.1345224336531156;-0.0468839533510775;0.0212097231757929;-0.0403310066336995;0.0217888751019372;-0.0786416757276785;-0.1001069995099718;-0.103030303030303;0.0238095238095238;-0.0892128182707431;-0.1094950041362569;0.0063086634852606;-0.095561454592852;-0.1531063631648222
100;0.0481169838607838;0.2034313725490196;0.2668174214832506;0.1258199082793912;0.2496101520114439;0.5217939320872036;0.2547315524312218;0.5392654314567538;0.169833123563777;0.1377228562769515;0.1777986140352741;0.5217939320872036;0.1355939758710694;0.1377638924580288;0.2702604287515617;0.133391884475741;0.1837117690442829
101;0.0535116476033506;0.2034710298915085;0.2672628756212226;0.1285265751513507;0.2513668954099881;0.5271488843555598;0.2553451504914019;0.6;0.1711601189680702;0.1385964912280701;0.1820389130202986;0.5411379824639282;0.1357667186053995;0.1392381169112554;0.2711689359239066;0.1373826159297363;0.1838618445272822
102;0.053617042481127;0.2040337058326913;0.2682143185229401;0.1293020041007208;0.2522501729524712;0.5291229030985346;0.2562648802014647;0.6323585698957752;0.1740776559556978;0.138758168528763;0.1825500789192808;0.6024776511210235;0.1358014648946605;0.139947868006724;0.2712349452855566;0.1374186896692531;0.1856714817469921
103;0.0568770606372686;0.2041241452319314;0.2690344574501515;0.1314793227606846;0.2525236167736613;0.5981260610081957;0.257585782180135;1.0;0.1743295265481986;0.1399887433166854;0.1829110659200846;0.6571428571428573;0.1363757768589336;0.1406633442104456;0.2730069812677826;0.1396209075609411;0.1860570864418415
104;0.0609085630523322;0.2060253899033824;0.2694192875789463;0.1331255739607756;0.2542669581438216;0.6571428571428573;0.2581988897471611;;0.1757337558387018;0.1413157901041216;0.1831665071566326;1.0;0.1367893087915986;0.143050167586497;0.2763799043523849;0.1411149174021652;0.1905031549867925
105;0.062713607419148;0.2063146372120584;0.2699744358189956;0.1336714668410504;0.2557652624134824;1.0;0.2584940358343962;-0.6780635036208105;0.1771499984276845;0.1430340747308464;0.1835757864820297;;0.1408201768475519;0.1471766744368088;0.276896356324869;0.1424911922293729;0.1905465444596839
106;0.0627187659092584;0.2066732044479415;0.270221195744642;0.1350152228546818;0.2583090621868226;;0.2596491228070175;-0.6071428571428572;0.1777163960902022;0.1449382932245181;0.1852774362900073;-0.6780635036208105;0.1411149174021652;0.1481926047680981;0.2770372664207647;0.1436702951560393;0.1947229780788619
107;0.0639276070968112;0.2073319949705134;0.2708345077485391;0.1369728547055409;0.2590438179024903;-0.4407412773535268;0.2597549705305241;-0.4285714285714286;0.1798840038456439;0.1456683780908665;0.1871747440902618;-0.4285714285714286;0.1411383979621802;0.1486463566521282;0.2776107945505884;0.1453724105667972;0.2043302415713032
108;0.0643647190507038;0.2121175744281258;0.2722482937112492;0.1447951798466095;0.2590780536520794;-0.4047966566254863;0.2609596775834009;-0.4285714285714286;0.1821507056445238;0.1494253084698845;0.1891925563788929;-0.4285714285714286;0.1427614973602546;0.1502945302888261;0.2781398760161259;0.1457032823969287;0.2043628917863506
109;0.0666430497325843;0.2133477006656278;0.2730983573921122;0.1470152228494025;0.260324878898825;-0.3999999999999999;0.261510568283727;-0.3999999999999999;0.1823769121386182;0.1500658327878962;0.1906519531736751;-0.3999999999999999;0.1434099536243414;0.1520252652188039;0.2782044773413064;0.1459229760820299;0.2048333190130281
