;mean;std
11;0.13525192835759928;0.1547642229389109
10;0.17941558732912014;0.15124074318197606
9;0.15771286529447565;0.15648987283889246
8;0.1523150301859323;0.15798617697091083
7;0.18215850121572738;0.1524258226041647
6;0.18284532007454515;0.1490019261951002
5;0.19135047520070927;0.15378178000190446
4;0.17694164311348445;0.14546843820881888
3;0.1577240988802676;0.15293444178534268
2;0.20508333166068124;0.15101662515680125
1;0.17483788945212456;0.15237332573788825
0;0.2741272767858725;0.15058104586092552
