;mean;std
11;0.13951137938458624;0.17835502216351873
10;0.17598920364872786;0.18529964869580562
9;0.1665549708841137;0.18453635678790828
8;0.1505901489345155;0.18583581834980453
7;0.17898307443777844;0.17543470945334538
6;0.17657234756405765;0.18167166448633695
5;0.18382220879228547;0.17617004844042186
4;0.17370363893805463;0.17852784681427067
3;0.15855174645001344;0.18780165954031508
2;0.20856614051174188;0.18388080473536172
1;0.18701906865456472;0.18694834420349382
0;0.2713015030487721;0.18118643741411158
