;mean;std
11;0.14759057825398836;0.20295752009931584
10;0.18866453073329875;0.2164981309355175
9;0.18739473615690413;0.20488872396788504
8;0.16668615242155796;0.2090797117070904
7;0.19336207034121394;0.19540472822042634
6;0.18812618109268647;0.20754996610144397
5;0.19828203456737586;0.20098120188702015
4;0.19276483419696477;0.2078297856037216
3;0.17527886960774364;0.21922307682241327
2;0.23448119033737408;0.21066510453652737
1;0.21237594958301845;0.21560363407140884
0;0.29151738708052133;0.2054459618680666
