;mean;std
23;0.09454345921967255;0.19508362331970425
22;0.09521212470371221;0.19521271433679754
21;0.15591704725271688;0.19428824352326332
20;0.19489090777897905;0.19351880068714272
19;0.17307321581776688;0.1927254060166607
18;0.13168154760412198;0.17443462204187643
17;0.1234631582915114;0.1674148896826913
16;0.05280095222937677;0.16673423472689217
15;0.06163573048469971;0.17338245079304515
14;0.08722635354873758;0.16461552447618205
13;0.1005269560788665;0.16392149240152812
12;0.15471203315222254;0.17240901415125015
11;0.1732146965515971;0.1732206197246939
10;0.13672928574879117;0.16743704064680132
9;0.1681744227889448;0.17752792556117178
8;0.10385905942348124;0.16374019549522167
7;0.14312752010012297;0.17518885400765669
6;0.10592847644469508;0.18022639835976872
5;0.12319807481872505;0.16268680043898154
4;0.12334066703678925;0.16128505756231004
3;0.19741654462840422;0.18050000258646734
2;0.008182121034144313;0.17580211788916267
1;-0.04319481414394673;0.21344412391287218
0;0.3321971215018536;0.16173589318499915
