;mean;std
23;0.05504472169213973;0.22811737104592666
22;0.0705789181547817;0.21101383611882485
21;0.1535228878832771;0.20937819791703555
20;0.1751386560716302;0.20740378040725094
19;0.1578909540167492;0.21100663159944885
18;0.12094434737366239;0.22217745245766365
17;0.1000970376296198;0.20203370180728267
16;0.042233035825317976;0.20266944173981272
15;0.023943764343201026;0.19823437479074885
14;0.06657544702763067;0.19059016362860995
13;0.07715393842172413;0.19089434166341934
12;0.16550253475215748;0.20031746038621712
11;0.15999739619320674;0.21365568115033226
10;0.11770164193578095;0.2025023704631392
9;0.14265126279924784;0.20239197777992504
8;0.06440225518310531;0.19903489100073307
7;0.12174410350359018;0.21219006428970147
6;0.10435891274140863;0.20609606163722144
5;0.12153521593923132;0.21490745749832124
4;0.13094543931635994;0.2196018134429288
3;0.23469765566431716;0.22034037963940756
2;0.06496808614395744;0.23983556987097063
1;-0.06012985888911967;0.2366298388776187
0;0.3460704164023086;0.19379053176958871
