text;attention
State;0.00019378196715725212
that;9.626980090831998e-05
you;0.0001158955922752441
are;0.0001142456946039545
a;8.449208873894996e-05
loyal;0.0001163475997700869
customer;0.00011148950798051119
to;8.683653424895965e-05
them;0.00012477921482103598
for;9.827372460177473e-05
years.;0.34402388686308927
Provide;0.00016182541181584116
offer;0.000252107927078034
by;0.00010042294088547796
competitor;0.00014151714705491484
that;0.00010043732548955272
is;8.335152572697267e-05
lower;0.00010631373977907061
than;8.838312948360182e-05
what;8.247151049602499e-05
you;9.444345159559975e-05
are;7.766156353588049e-05
currently;7.894483289265565e-05
paying.;0.34432218544882953
Inform;0.00014015376514458418
them;0.00010038410735911057
you;9.406859581616058e-05
are;8.764413467712624e-05
thinking;8.491355939400982e-05
of;8.611229045603916e-05
switching;0.0001241027696881154
and;9.715064082976217e-05
politely;8.459014599045844e-05
inquire;9.65060420908843e-05
if;9.693513871913147e-05
it;9.649611428994225e-05
is;8.495700608865763e-05
possible;7.741559209707863e-05
for;8.267873549562538e-05
them;0.00010583298667559832
to;0.00010426286485888531
offer;0.00010745938228765741
you;8.60293040351462e-05
a;0.00015899664812512923
better;0.00011730943083486468
deal;0.0001220887642933064
as;8.740261265944638e-05
a;7.831158906362485e-05
loyal;8.746518934210056e-05
customer.;0.306654368046829
