;mean;std
31;0.23419720102836486;0.15073339106782735
30;0.20148497673886342;0.15999712834922522
29;0.16532911998665545;0.15851604655576404
28;0.2181635778295845;0.1625480658984934
27;0.24182625649604056;0.15317391772683508
26;0.24570873431558746;0.15475848498704908
25;0.24992650763948754;0.1502100864855673
24;0.25192645391525326;0.14601188135403503
23;0.24203004670590178;0.1505477703141024
22;0.24637072377354763;0.1503367194500787
21;0.22754113042246876;0.15144991273023387
20;0.2393586391588752;0.15421741630438474
19;0.26769732871345553;0.1524230807968237
18;0.24900036207268383;0.15202127378869373
17;0.25832210554994517;0.14894501948394176
16;0.24737320418138448;0.15072620902333617
15;0.24570203808243113;0.15438223804330956
14;0.22881818920556626;0.1535794344348576
13;0.22330418421012868;0.15677056430716116
12;0.24761966134149804;0.15023201472073355
11;0.2122221794817301;0.15218495327346024
10;0.24224298783281603;0.1502496734162546
9;0.24948301896717434;0.1521530136009661
8;0.2473604002055827;0.1515753857068071
7;0.24890677216160773;0.1502172924869507
6;0.2117703675419586;0.1481295696570687
5;0.20566976989335292;0.15152996830089724
4;0.2588941470604795;0.14725955759769518
3;0.270071615471169;0.1485291002616519
2;0.1774409651151775;0.15154851601945657
1;0.20296687901636112;0.15684119852791395
0;-0.027715678165479478;0.18887825653661866
