;mean;std
31;0.21708924776406197;0.1942296520626369
30;0.16425619979677863;0.20202642761289533
29;0.1442388843753116;0.2156946110973804
28;0.1869493865259987;0.2012059294177401
27;0.20163979942571578;0.1923361854519538
26;0.2058876703409696;0.19691266653967462
25;0.22440279685970368;0.19229741234138953
24;0.23408104343118297;0.19483675869239153
23;0.23226541809324247;0.2098819317124853
22;0.21811899787401987;0.19113653426167537
21;0.20666257845754768;0.19691104406431892
20;0.2170356240011446;0.1841137138466036
19;0.22837456216604768;0.1869964535512625
18;0.21204755317379692;0.1968869781628877
17;0.22883800877980393;0.19167199579303246
16;0.20637800817670737;0.18558815577098423
15;0.20585696939259415;0.20028106258214265
14;0.18644100760878468;0.1970233413895359
13;0.18182159284765362;0.19424666182087952
12;0.2110799729197403;0.1825242680211854
11;0.16975790767425575;0.19554874050471352
10;0.19287524977759699;0.1825794564175822
9;0.2085975591682582;0.19029815342136244
8;0.21360037370310145;0.18624488704507852
7;0.20367260555921043;0.1884056729118529
6;0.1705809737561316;0.19179090312535846
5;0.17696027552665194;0.19474560839607907
4;0.22945886835368123;0.18992127355700855
3;0.25045205049441327;0.20002319411291045
2;0.16301189471791522;0.18907230057955862
1;0.18272692707183372;0.20362835369548285
0;-0.06662324785907785;0.22751272721250887
