text;attention
Subject:;0.018076973805953196
Absence;0.03614807593738833
from;0.008590570186747649
class;0.015260908178735417
tomorrow;0.01527092821335496
Dear;0.012533891690521522
Professor;0.014449682240782125
[Name],;0.019879016158204893
I;0.011502871287026577
hope;0.008813528206509859
this;0.007051408774651133
email;0.008242388186254572
finds;0.007142911980168266
you;0.0082768119655111
well.;0.011097966155098579
I;0.009505712481017597
am;0.007170417422683072
writing;0.006993452195259609
to;0.007392172356025807
inform;0.00795827826185639
you;0.008895286684070011
that;0.007751253790573637
I;0.008051871956752386
will;0.007143395542928714
not;0.008456364748848793
be;0.007436125141030974
able;0.0073916604976277615
to;0.008846402089222693
attend;0.010905929282788194
class;0.012577567840721084
tomorrow,;0.018320668190614422
[date],;0.01479539203939169
due;0.007366397229014786
to;0.010179244289608314
[reason;0.01609698412403801
for;0.006895325191885098
absence].;0.012732123594007076
I;0.008487457697288923
apologize;0.009833791868193302
for;0.007171727386391632
any;0.007343494494367625
inconvenience;0.009840036823922602
this;0.00691235453167897
may;0.006704773415588166
cause,;0.010137984173567276
and;0.007639268728004642
I;0.007188366518030485
will;0.008737118923613982
make;0.006953881087258192
sure;0.008907027229923656
to;0.008421291826663888
catch;0.008249841393995637
up;0.01423166349362614
on;0.008440256419230937
any;0.008506476733380206
material;0.013206139932136702
covered;0.008494629466784299
during;0.007244372060295075
my;0.006734813232681716
absence.;0.015805807633708008
If;0.009024187769428961
there;0.008494616808809433
is;0.006998694908389969
any;0.0075304461099856
homework;0.012749041837792428
or;0.00878930038112691
assignments;0.009372737645083258
that;0.007646342912607739
I;0.0071616542312380755
will;0.006678034851572518
miss,;0.013840969699847648
please;0.008126819495062313
let;0.006954120870161731
me;0.006666549687355017
know,;0.01016073008868611
and;0.007154254354066357
I;0.0067296403354465545
will;0.007037923436704611
make;0.006349372528103692
sure;0.006691732765168751
to;0.006641236683982487
complete;0.007158724062850766
them;0.006804209461580687
promptly.;0.007850085464023845
Thank;0.006934918665277283
you;0.00821882773422963
for;0.008820718665055696
your;0.006828935545211737
understanding,;0.00925176207030442
and;0.0068950084259915756
I;0.006700747196896986
appreciate;0.007207679544241817
your;0.007085683996063459
efforts;0.008137568324891768
in;0.007886456808080066
making;0.007057563762668806
sure;0.007963828672522481
that;0.006642002497159341
we;0.007034249008954482
are;0.006398391865226342
all;0.006660002915542115
on;0.0062615468785372505
track;0.006825607664550828
with;0.0063708847440202936
our;0.0062842093767640946
coursework,;0.0066927453935691035
Best;0.007124489170539316
regards,;0.007909370544427155
[Your;0.007342772642599843
name];0.006460068510392391
