;mean;std
39;0.28493954214386696;0.1724987998285383
38;0.21856787687271706;0.19242974369805016
37;0.2143587113685571;0.19781160008932852
36;0.22086682552824588;0.19122427778944442
35;0.23383640554693655;0.18941937894079452
34;0.22436220244720434;0.19151045455439278
33;0.23674078254171108;0.18963479137246111
32;0.24043981993757635;0.18667624832927815
31;0.24691805266082778;0.18354278986278674
30;0.24539647790390912;0.18413593765364303
29;0.2651335571785043;0.1761143945797422
28;0.2727410279752116;0.18314268260187333
27;0.26426654961507917;0.1764521583609402
26;0.2618126701476022;0.1668718378403977
25;0.26083775105500956;0.1488575863365659
24;0.2617448629510424;0.16392766790712032
23;0.27595113850211317;0.16619431186145325
22;0.26020944138288493;0.1583818123785753
21;0.29282579708093714;0.16110249442785488
20;0.2898928814046069;0.15126298566594076
19;0.2995055026798297;0.15200045664858142
18;0.29691146305874405;0.16674475066694863
17;0.29664705425977367;0.16916210023157033
16;0.2757298345117057;0.17181657088080113
15;0.2832555731984231;0.17423138591227685
14;0.29349628379212633;0.17457049705096908
13;0.2830367548003629;0.17110049336659078
12;0.29829896950621443;0.16570863857715895
11;0.28139120829591796;0.1556117567206521
10;0.2885137370976576;0.16583402026269264
9;0.279998496153331;0.16031735709187434
8;0.3209837836402558;0.17588014042012337
7;0.3083617000660974;0.16370186192697822
6;0.30817551728402065;0.17087926223187
5;0.3265049893896905;0.16217165687140858
4;0.29396022611787237;0.1692134665782752
3;0.3143183856475303;0.15996886643702737
2;0.32179330926742356;0.1617958874243637
1;0.2887722027950221;0.168369266709975
0;0.09628784214314202;0.2055581847945476
