;mean;std
39;0.2082639945097873;0.15656396137400438
38;0.15529654571579649;0.16081734053842042
37;0.1562734846668382;0.16782161993171224
36;0.15945398004063488;0.16537694482370036
35;0.17211888285684093;0.16360422965574092
34;0.16593855692616122;0.16581848278284744
33;0.17281266679755533;0.1629024020808592
32;0.17579718089968352;0.1631155219451803
31;0.18096552912511443;0.162719704411851
30;0.1787433400046703;0.16313552958617705
29;0.1952736993106945;0.16320361496376617
28;0.19846399342317864;0.16379786267158378
27;0.19266273032312467;0.16139199765454362
26;0.19133978085213396;0.15825294531486409
25;0.19659217822211603;0.1525886417904838
24;0.19408357326363584;0.1550914991087823
23;0.2041420369000914;0.15661133693646856
22;0.18811082868619636;0.1553469000876826
21;0.2107941129191301;0.1482708323067924
20;0.20947205500483054;0.14937018220330786
19;0.22217350338627115;0.15222872223473322
18;0.22566114563294953;0.15616870432774332
17;0.22677158114324567;0.15153307773158528
16;0.20970171798347065;0.15721899392093952
15;0.2140428987175946;0.1558404745855774
14;0.22299290116779902;0.14883696248670436
13;0.20987318481973485;0.15507743733806825
12;0.22351392096471306;0.1536972125263603
11;0.20979093940208027;0.15194398704390716
10;0.215309989030577;0.15411679752943955
9;0.20684535390812406;0.15258391231275512
8;0.24035593832693475;0.15371081652776727
7;0.22583329816901324;0.14818986863804892
6;0.2253237170267146;0.14928726880504
5;0.2500930093716708;0.15097152265152386
4;0.2218943280205598;0.15474327656276626
3;0.23691186638944262;0.15589118523730724
2;0.24519758229859054;0.16251106801790405
1;0.2094467619470962;0.15373217418726695
0;0.05425296093075678;0.16332920057142353
