number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.5094;0.15355;1.5;0.031680483603141935;0.014973475835706204;0.02631578947368421;Stable
1;1.9248999999999998;0.29935;6.0;0.11871270793075221;0.025762798634552966;0.11152882205513784;diffusion
2;0.1133;0.1133;0.5;0.0070463266435727935;0.011048484612084096;0.008771929824561403;is
3;0.089;0.089;0.5;0.005535066825048355;0.008678862581425282;0.008771929824561403;an
4;0.9547;0.53395;3.0;0.05779503435270304;0.04377163823450596;0.05889724310776942;open-source
5;0.0;0.0;0.0;0.0;0.0;0.0;AI
6;0.5906;0.4608;1.5;0.0358616156707513;0.03898273831423807;0.02944862155388471;model
7;0.28285;0.13735;1.0;0.017590939904100305;0.013393727815266996;0.017543859649122806;that
8;0.44480000000000003;0.2911;1.5;0.027162625529687665;0.02495941262042592;0.02944862155388471;accepts
9;0.0;0.0;0.0;0.0;0.0;0.0;text
10;0.39625;0.39625;1.0;0.02377464671065975;0.03268812505995715;0.020676691729323307;prompts
11;0.0;0.0;0.0;0.0;0.0;0.0;to
12;0.5337;0.40435;1.5;0.031901264340196446;0.03347465319244243;0.03258145363408521;produce
13;0.0;0.0;0.0;0.0;0.0;0.0;images.
14;0.1616;0.1616;0.5;0.010050188751997912;0.015758474080430625;0.008771929824561403;The
15;0.7846;0.4449;2.0;0.047163144324866305;0.03598794099811921;0.041353383458646614;resulting
16;0.38044999999999995;0.26705;1.5;0.022896694307601474;0.023335763715279345;0.03258145363408521;images
17;0.0;0.0;0.0;0.0;0.0;0.0;are
18;0.39615;0.39615;1.0;0.023847057709341445;0.033217059844193285;0.020676691729323307;often
19;0.0;0.0;0.0;0.0;0.0;0.0;hard
20;0.13745;0.13745;0.5;0.008548257697785352;0.013403479346257359;0.008771929824561403;to
21;0.388;0.388;1.0;0.023261401878113246;0.03188250846067389;0.020676691729323307;distinguish
22;0.14565;0.14565;0.5;0.009058230146834753;0.014203104887467332;0.008771929824561403;from
23;0.37205;0.12135;1.0;0.02192708456116363;0.009126667769738724;0.023809523809523808;real
24;0.0;0.0;0.0;0.0;0.0;0.0;pictures,
25;0.1699;0.1699;0.5;0.01056638037725523;0.01656785115263096;0.008771929824561403;although
26;0.3802;0.2184;1.0;0.022407411773026235;0.01642574570177946;0.023809523809523808;some
27;0.13745;0.13745;0.5;0.008548257697785352;0.013403479346257359;0.008771929824561403;are
28;0.0;0.0;0.0;0.0;0.0;0.0;very
29;0.44495;0.28325;1.5;0.02667184684625442;0.024374594835335838;0.03258145363408521;obviously
30;0.14565;0.14565;0.5;0.009058230146834753;0.014203104887467332;0.008771929824561403;made
31;0.0;0.0;0.0;0.0;0.0;0.0;by
32;0.0;0.0;0.0;0.0;0.0;0.0;Al.
33;0.21825;0.21825;0.5;0.012862750182701147;0.016414464283028236;0.011904761904761904;As
34;0.1212;0.1212;0.5;0.007537641563998434;0.01181885556032297;0.008771929824561403;of
35;0.3154;0.3154;1.0;0.01900968289727424;0.02660744035304841;0.020676691729323307;Janurary
36;0.0;0.0;0.0;0.0;0.0;0.0;29,
37;0.34804999999999997;0.34804999999999997;1.0;0.02106580280588391;0.029966416156165805;0.020676691729323307;2023,
38;0.1133;0.1133;0.5;0.0070463266435727935;0.011048484612084096;0.008771929824561403;Some
39;0.2103;0.2103;0.5;0.012394210141681792;0.01581654908921346;0.011904761904761904;other
40;0.30725;0.30725;1.0;0.01855605412988761;0.026177391250375166;0.020676691729323307;image
41;0.34785;0.34785;1.0;0.02086924286381972;0.028685517188344146;0.020676691729323307;generation
42;0.2992;0.2992;1.0;0.018028223614494673;0.025206139145106592;0.020676691729323307;models
43;0.0;0.0;0.0;0.0;0.0;0.0;are
44;0.5013000000000001;0.5013000000000001;1.0;0.03012360693203769;0.04166959716691706;0.020676691729323307;DALLE-2
45;0.0;0.0;0.0;0.0;0.0;0.0;and
46;0.3318;0.21855;1.5;0.020003254941683354;0.019508542880642014;0.03258145363408521;MidJourney,
47;0.47735000000000005;0.3317;1.5;0.028949774497551452;0.027293552916209947;0.02944862155388471;however
48;0.0;0.0;0.0;0.0;0.0;0.0;these
49;0.428;0.3958;1.5;0.02596054357697796;0.03409189293688559;0.02944862155388471;are
50;0.1859;0.1859;0.5;0.010956175298804782;0.013981438305681325;0.011904761904761904;closed
51;0.5581;0.5581;1.0;0.033550607603377226;0.046485757178830224;0.020676691729323307;sourced
52;0.1376;0.1376;0.5;0.00810957354015889;0.01034882146778779;0.011904761904761904;and
53;0.3962;0.3962;1.0;0.02377169991794894;0.03268436458704008;0.020676691729323307;require
54;0.0;0.0;0.0;0.0;0.0;0.0;you
55;0.0;0.0;0.0;0.0;0.0;0.0;to
56;0.1133;0.1133;0.5;0.0070463266435727935;0.011048484612084096;0.008771929824561403;pay
57;0.25075;0.25075;0.5;0.014778165444729954;0.018858771679126366;0.011904761904761904;in
58;0.1134;0.1134;0.5;0.007052545819780713;0.011058236143074461;0.008771929824561403;order
59;0.0;0.0;0.0;0.0;0.0;0.0;to
60;0.71165;0.24259999999999998;2.0;0.04220445241754723;0.020045896814710723;0.044486215538847115;access
61;0.1537;0.1537;0.5;0.009058440793040854;0.011559693747085634;0.011904761904761904;them.
