;fix_number;first_fix_duration;GPT;fix_duration;fixProp;text
0;11.283252;2.6032705;3.611745;4.4451413;53.395992;one
1;24.252125;4.2858653;6.041019;8.799292;91.112274;theory
2;5.623994;1.5369942;2.3213532;1.9568348;33.027565;is
3;16.07996;3.774308;4.777553;5.6900744;80.619835;that
4;12.001805;3.4341908;4.3366823;4.085941;74.8364;this
5;17.501768;4.176105;7.1488423;6.131428;87.48543;helps
6;17.737263;4.651742;6.902311;6.216174;96.57451;dogs
7;5.822282;1.8032616;4.4803247;1.9847484;38.171387;to
8;15.232508;4.5327144;12.432812;5.7281933;89.14275;fall
9;10.409824;3.810489;14.242801;3.9931576;74.54397;asleep.
