;number;text;x1;y1;x2;y2
0;0;Yes,,;33;157;87;178
1;1;you;109;161;150;180
2;2;can;170;161;210;175
3;3;use;230;161;271;175
4;4;a;290;161;301;175
5;5;USB;320;157;361;175
6;6;GPS;379;157;421;175
7;7;dongle;439;156;526;180
8;8;to;545;157;571;175
9;9;provide;589;156;691;180
10;10;your;709;161;766;180
11;11;location;784;156;900;175
12;12;information;920;156;1080;175
13;13;to;1100;157;1126;175
14;14;Google;1144;156;1231;180
15;15;Maps;41;256;97;279
16;16;on;116;260;142;274
17;17;a;162;260;173;274
18;18;Microsoft;191;255;322;274
19;19;Surface;341;256;443;274
20;20;tablet,.;462;255;559;274
21;21;Once;580;256;638;274
22;22;the;657;255;698;274
23;23;dongle;716;255;803;279
24;24;is;822;255;847;274
25;25;connected;867;255;998;274
26;26;and;1017;255;1058;274
27;27;recognized;1079;255;1223;279
28;28;by;86;354;112;378
29;29;the;131;354;172;373
30;30;tablet,,;191;354;288;376
31;31;you;311;359;352;378
32;32;can;371;359;412;373
33;33;use;431;359;472;373
34;34;the;491;354;532;373
35;35;Google;550;354;637;378
36;36;Maps;655;355;712;378
37;37;app;731;359;773;378
38;38;to;791;355;817;373
39;39;navigate;836;354;952;378
40;40;in;972;354;997;373
41;41;your;1016;359;1072;378
42;42;car;1091;359;1132;373
43;43;by;1151;354;1177;378
44;44;providing;71;453;203;477
45;45;turn,-,by,-,turn;221;453;397;477
46;46;directions,.;415;453;573;472
47;47;Please;596;453;682;472
48;48;note;701;454;757;472
49;49;that;776;453;832;472
50;50;you,'ll;851;453;936;477
51;51;need;956;453;1012;472
52;52;an;1031;458;1057;472
53;53;internet;1077;453;1192;472
54;54;connection;79;552;224;571
55;55;for;244;553;285;571
56;56;Google;303;552;390;576
57;57;Maps;408;553;464;576
58;58;to;484;553;510;571
59;59;work,,;527;552;596;574
60;60;as;619;557;644;571
61;61;the;664;552;705;571
62;62;app;724;557;765;576
63;63;requires;786;552;899;576
64;64;access;919;557;1004;571
65;65;to;1024;553;1050;571
66;66;maps;1067;557;1124;576
67;67;and;1144;552;1185;571
68;68;traffic;26;651;127;670
69;69;information,.;147;651;318;670
70;70;Additionally,,;340;651;528;675
71;71;while;549;651;622;670
72;72;Google;640;651;727;675
73;73;Maps;745;652;802;675
74;74;can;821;656;862;670
75;75;use;881;656;922;670
76;76;your;941;656;997;675
77;77;GPS;1015;652;1058;670
78;78;location;1076;651;1192;670
79;79;to;1211;652;1237;670
80;80;provide;77;750;178;774
81;81;navigation,,;197;750;354;774
82;82;a;377;755;388;769
83;83;dedicated;406;750;538;769
84;84;GPS;556;751;599;769
85;85;device;616;750;703;769
86;86;may;721;755;763;774
87;87;provide;782;750;883;774
88;88;a;902;755;913;769
89;89;more;931;755;988;769
90;90;accurate;1007;751;1123;769
91;91;and;1142;750;1183;769
92;92;reliable;260;849;374;868
93;93;signal;393;849;478;873
94;94;compared;498;849;614;873
95;95;to;633;850;659;868
96;96;a;678;854;689;868
97;97;tablet;708;849;793;868
98;98;or;812;854;839;868
99;99;smartphone,.;858;849;1015;873
