;x;y;duration;pupil_r;pupil_l;word;word_number
981;632.2944;503.08096;0.92175;15.2915;14.1132;;
982;209.9584;222.79168;0.21051;15.2144;14.4627;the;2.0
983;154.9312;242.08384;0.37213;14.0919;14.468;so;1.0
984;246.784;246.19008;0.33978;15.3366;14.6992;earth's;3.0
985;397.8112;203.56096;0.4043;16.2765;15.4028;axis;4.0
986;523.0208;183.76704;0.64697;15.8804;15.3346;tilted.;6.0
987;680.1279999999999;168.88832;0.30737;15.8051;15.2459;mean;8.0
988;860.096;211.42528;0.42041;15.9119;14.8726;physically,;10.0
989;981.2991999999999;209.2032;0.25891;15.6573;14.9954;not;11.0
990;1099.4176;203.79648;0.4043;15.552;13.9344;like;12.0
991;975.1808;217.57952;0.09723;14.4054;13.0548;not;11.0
992;82.9824;332.70784;0.48517;16.5501;15.0598;all;16.0
993;158.848;321.83296;0.30768;16.5245;14.6179;tilted;17.0
994;313.3568;307.16928;0.58234;17.7777;16.2894;the;19.0
995;396.928;301.2608;0.5014;17.9347;16.9157;0.);21.0
996;489.8816;316.32384;0.32324;16.5797;12.1285;Anyway,;22.0
997;986.2016;502.85568;0.4364;14.6611;14.0115;one;29.0
998;1100.288;502.24128;0.56628;15.253;14.0543;of;31.0
999;1154.7776000000001;500.3776;0.46906;15.9486;15.4431;the;32.0
1000;1084.9792;499.46624;0.29102;15.494;14.6597;Australia;63.0
1001;1060.0832;510.45376;0.22638;13.1581;6.6492;so;62.0
1002;127.3984;623.18592;0.5661;14.4931;13.7182;like,;65.0
1003;239.1296;618.04544;0.29132;14.8408;13.9491;frying.;66.0
1004;371.9552;591.872;0.33966;14.6241;11.312;the;68.0
1005;583.1936000000001;606.85312;0.43683;14.2183;12.8489;moves;70.0
1006;677.8624000000001;600.86272;0.40472;13.6819;13.3191;the;72.0
1007;791.5008;616.09984;0.40436;14.7755;14.1783;side;74.0
1008;938.7648;619.43808;0.59875;14.2928;14.2825;the;76.0
1009;1014.0416;607.52896;0.32367;15.3963;14.4551;sun;77.0
1010;1139.7248;601.69216;0.33984;14.3851;13.9077;6;79.0
1011;1163.0464000000002;600.81152;0.34015;8.5476;6.4484;months;80.0
1012;114.8544;722.85184;0.27502;14.837;13.7833;the;82.0
1013;250.96959999999999;714.50624;0.40417;13.5842;12.7272;relationship);83.0
1014;369.2032;708.64896;0.30737;13.9789;12.4911;and;84.0
1015;467.2384;688.16896;0.51746;14.0209;12.161;now;85.0
1016;576.5888;620.57472;0.27496;15.1477;14.075;north;87.0
1017;770.1632;614.66624;0.33954;15.1702;14.8488;tilted;90.0
1018;855.6928;612.9664;0.2912;17.1966;15.729;toward;91.0
1019;541.1456;706.048;0.56616;16.4576;14.3712;north;87.0
1020;711.1168;710.69696;0.29144;17.3538;14.9152;is;89.0
1021;856.6784;707.9424;0.25879;16.444;15.7927;toward;91.0
1022;981.9136000000001;710.03136;0.30719;15.7253;14.7552;the;92.0
1023;1167.5008;703.76448;0.67938;13.9068;14.5758;That's;94.0
1024;270.5792;789.4528;0.21021;16.6365;14.809;best,;96.0
1025;291.89119999999997;813.3632;0.24237;16.5392;15.2734;best,;96.0
1026;480.4864;795.19744;0.22662;15.6599;14.0226;my;98.0
1027;564.1984;811.97056;0.48523;15.6213;13.4118;summer;99.0
1028;666.2016;803.65568;0.50153;15.2986;13.6774;drip;100.0
1029;793.3951999999999;802.79552;0.43683;15.4499;14.4999;high-key;102.0
1030;893.0176;798.79168;1.10022;11.5538;7.5997;the;103.0
1031;548.3392;807.07584;0.42078;15.569;12.8318;summer;99.0
1032;593.9072;797.89056;0.66296;15.4273;12.2513;summer;99.0
1033;641.28;796.64128;0.3399;7.8295;6.6325;drip;100.0
