;x;y;duration;pupil_r;pupil_l;word;word_number
1482;636.0192;507.15648;1.3587;14.8555;13.8584;;
1483;298.432;400.0256;0.19403;15.6551;14.1847;Federal;3.0
1484;106.0736;378.14272;0.35577;15.7991;14.2665;According;0.0
1485;267.776;329.89184;0.33954;16.5223;15.1458;the;2.0
1486;390.15680000000003;328.8576;0.24261;15.3857;13.5756;Federal;3.0
1487;508.56960000000004;342.19008;0.25897;14.7556;14.7739;Administration,;5.0
1488;663.424;343.36768;0.2428;15.0363;14.6989;Administration,;5.0
1489;836.8384000000001;351.488;0.32355;15.0667;14.7499;healthy;7.0
1490;921.6128000000001;331.91936;0.37225;14.61;14.1177;adult;8.0
1491;797.056;351.32416;0.24292;14.0444;14.2342;healthy;7.0
1492;801.0111999999999;366.83776;0.3559;15.3972;14.6198;healthy;7.0
1493;954.624;335.29856;0.32336;16.2362;15.84;adult;8.0
1494;1084.8768;323.52256;0.33954;14.221;15.535;consume;10.0
1495;40.5248;-381.92128;0.0647;13.2696;8.9642;According;0.0
1496;78.848;-340.60288;0.08069;13.2696;9.5654;According;0.0
1497;42.5216;-347.43296;0.17798;13.2696;8.7743;According;0.0
1498;49.5232;-337.21344;0.17822;13.2696;9.2877;According;0.0
1499;25.318399999999997;-307.52768;0.08081;13.2696;9.0639;According;0.0
1500;10.751999999999999;-328.30464;0.08093;13.2696;9.164;According;0.0
1501;965.8240000000001;560.65024;0.30725;12.9023;12.6306;adult;8.0
1502;1092.7487999999998;553.80992;0.33948;12.9818;12.5278;consume;10.0
1503;1145.3184;538.17344;0.30725;13.4878;12.7962;consume;10.0
1504;1108.7616;540.95872;0.25891;13.3641;13.7758;-updates/spilling-beans-;31.0
1505;1060.672;542.21824;0.22668;8.651;12.0891;-updates/spilling-beans-;31.0
1506;498.16319999999996;650.43456;0.43689;14.7618;13.2011;how-much-caffeine-too-much;32.0
1507;646.0032;652.48256;0.2428;13.6883;13.2216;how-much-caffeine-too-much;32.0
1508;747.328;645.19168;0.40417;13.5118;12.1426;how-much-caffeine-too-much;32.0
1509;633.3184;559.3088;0.30737;13.1543;11.4006;fda.gov/consumers/consumer;30.0
