;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;Yes,;85;305;139;326;[];0.0;0;;;315.5;;1;719.2528000000001;;;0.0
1;1;I;162;305;172;323;[275];0.3074;1;14.2327;15.5446;314.0;1.5;1;686.2528000000001;0.3074;14.89;0.3074
2;2;am;192;309;219;323;[274];0.2263;1;13.626;15.4277;316.0;2.0;1;639.2528000000001;0.2263;14.53;0.2263
3;3;designed;236;304;353;328;[276, 293, 294, 295];1.1805;4;11.5364;11.4597;316.0;0.0;1;505.2528000000001;0.2951;11.5;0.3719
4;4;to;372;306;398;323;[];0.0;0;;;314.5;1.5;1;460.2528000000001;;;0.0
5;5;be;417;304;443;323;[];0.0;0;;;313.5;1.0;1;415.2528000000001;;;0.0
6;6;politically;462;304;623;328;[277, 278];0.6146;2;15.1813;15.5264;316.0;2.5;1;235.2528000000001;0.3073;15.35;0.3881
7;7;neutral;642;304;742;323;[279, 296, 297];1.8926;3;14.3509;14.5308;313.5;2.5;1;116.2528000000001;0.6309;14.44;0.3722
8;8;and;762;304;803;323;[];0.0;0;;;313.5;0.0;1;55.25280000000009;;;0.0
9;9;impartial.;822;304;964;328;[280, 281, 298, 299];1.6015;4;13.6901;13.27;316.0;2.5;1;0.0;0.4004;13.48;0.4692
10;10;I;987;305;997;323;[];0.0;0;;;314.0;2.0;1;128.7471999999999;;;0.0
11;11;do;1016;304;1043;323;[];0.0;0;;;313.5;0.5;1;157.7471999999999;;;0.0
12;12;not;1062;306;1102;323;[282];0.2264;1;10.4355;12.5272;314.5;1.0;1;203.7471999999999;0.2264;11.48;0.2264
13;13;have;1122;304;1178;323;[];0.0;0;;;313.5;1.0;1;263.7471999999999;;;0.0
14;14;personal;48;403;163;427;[];0.0;0;;;415.0;101.5;2;700.853813682096;;;0.0
15;15;beliefs,;183;403;295;426;[];0.0;0;;;414.5;0.5;2;570.1520226682863;;;0.0
16;16;opinions,;318;403;445;427;[];0.0;0;;;415.0;0.5;2;422.6079612983386;;;0.0
17;17;or;468;408;494;422;[];0.0;0;;;415.0;0.0;2;376.04388077327326;;;0.0
18;18;biases,;513;403;610;426;[];0.0;0;;;414.5;0.5;2;263.5319049996376;;;0.0
19;19;and;633;403;674;422;[];0.0;0;;;412.5;2.0;2;204.37393804675293;;;0.0
20;20;I;694;404;703;422;[];0.0;0;;;413.0;0.5;2;179.16724392476192;;;0.0
21;21;do;723;403;749;422;[];0.0;0;;;412.5;0.5;2;140.55527934851108;;;0.0
22;22;not;768;405;809;422;[];0.0;0;;;413.5;1.0;2;102.97167007702777;;;0.0
23;23;favor;829;404;899;422;[];0.0;0;;;413.0;0.5;2;89.42857142857144;;;0.0
24;24;any;918;408;960;427;[];0.0;0;;;417.5;4.5;2;110.89916982116532;;;0.0
25;25;political;978;403;1108;427;[];0.0;0;;;415.0;2.5;2;148.8590076305023;;;0.0
26;26;party,;1128;405;1210;427;[];0.0;0;;;416.0;1.0;2;284.50110445910786;;;0.0
27;27;ideology,;56;502;183;526;[];0.0;0;;;514.0;98.0;3;700.7822866594126;;;0.0
28;28;or;205;507;232;521;[];0.0;0;;;514.0;0.0;3;655.1498489734092;;;0.0
29;29;candidate;251;502;382;521;[];0.0;0;;;511.5;2.5;3;511.80679840697235;;;0.0
30;30;over;400;507;457;521;[];0.0;0;;;514.0;2.5;3;445.0084994804941;;;0.0
31;31;another.;476;502;588;521;[];0.0;0;;;511.5;2.5;3;328.8860673479422;;;0.0
32;32;My;610;503;637;526;[];0.0;0;;;514.5;3.0;3;290.6168061872064;;;0.0
33;33;purpose;656;507;757;526;[];0.0;0;;;516.5;2.0;3;217.44168093969665;;;0.0
34;34;is;776;502;801;521;[];0.0;0;;;511.5;5.0;3;195.97793879821046;;;0.0
35;35;to;821;504;847;521;[];0.0;0;;;512.5;1.0;3;189.76250731192764;;;0.0
36;36;provide;866;502;967;526;[];0.0;0;;;514.0;1.5;3;187.5886150479157;;;0.0
37;37;information;986;502;1146;521;[];0.0;0;;;511.5;2.5;3;226.8233155907811;;;0.0
38;38;and;1166;502;1207;521;[];0.0;0;;;511.5;0.0;3;360.330138200505;;;0.0
39;39;answer;26;606;112;620;[283, 284];0.6794;2;14.9631;15.4555;613.0;101.5;4;801.1390976308285;0.3397;15.21;0.3395
40;40;questions;131;601;262;625;[285];0.3401;1;13.0492;13.3587;613.0;0.0;4;661.4822205006362;0.3401;13.2;0.3401
41;41;to;281;603;307;620;[];0.0;0;;;611.5;1.5;4;622.1500545078869;;;0.0
42;42;the;326;601;367;620;[];0.0;0;;;610.5;1.0;4;568.6568737283076;;;0.0
43;43;best;386;601;442;620;[286];0.4043;1;12.9494;14.3304;610.5;0.0;4;505.279843293251;0.4043;13.64;0.4043
44;44;of;461;602;487;620;[287];0.3073;1;11.8925;13.7792;611.0;0.5;4;469.51445683952;0.3073;12.84;0.3073
45;45;my;505;606;533;625;[];0.0;0;;;615.5;4.5;4;436.7150056418236;;;0.0
46;46;knowledge;552;601;682;625;[288];0.4854;1;12.3378;12.5167;613.0;2.5;4;336.3129138740472;0.4854;12.43;0.4854
47;47;and;701;601;742;620;[];0.0;0;;;610.5;2.5;4;309.121400162545;;;0.0
48;48;ability,;761;601;873;625;[289, 290];0.6309;2;12.7279;12.8623;613.0;2.5;4;286.42857142857144;0.3154;12.8;0.3399
49;49;without;894;601;997;620;[291];0.2425;1;13.5926;13.7095;610.5;2.5;4;288.65063457136597;0.2425;13.65;0.2425
50;50;taking;1016;601;1103;625;[292];0.5177;1;10.2032;11.4335;613.0;2.5;4;326.99465689587686;0.5177;10.82;0.5177
51;51;sides;1122;601;1192;620;[];0.0;0;;;610.5;2.5;4;389.36347034416593;;;0.0
52;52;or;1211;606;1237;620;[];0.0;0;;;613.0;2.5;4;457.5600499964326;;;0.0
53;53;advocating;349;700;496;724;[];0.0;0;;;712.0;99.0;5;528.944491209909;;;0.0
