;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;The;229;293;261;313;303.0;;1;[];[];0.0;0.0;0;;;397.27795444982854;;
1;1;United;270;293;325;313;303.0;0.0;1;[];[];0.0;0.0;0;;;355.29229472624377;;
2;2;States;334;294;389;313;303.5;0.5;1;[];[];0.0;0.0;0;;;320.6672048898048;;
3;3;public;398;293;449;318;305.5;2.0;1;[];[];0.0;0.0;0;;;292.43878041709866;;
4;4;school;457;293;511;313;303.0;2.5;1;[];[];0.0;0.0;0;;;284.43518258443356;;
5;5;system;520;295;582;318;306.5;3.5;1;[];[];0.0;0.0;0;;;277.9680000000001;;
6;6;involves,;592;293;669;317;305.0;1.5;1;[];[];0.0;0.0;0;;;283.80006252966194;;
7;7;in;679;294;692;312;303.0;2.0;1;[];[];0.0;0.0;0;;;316.22739965385676;;
8;8;order,;701;293;753;317;305.0;2.0;1;[];[];0.0;0.0;0;;;322.16698324291406;;
9;9;kindergarten;763;293;875;318;305.5;0.5;1;[];[];0.0;0.0;0;;;356.45600274345225;;
10;10;(for;884;293;916;318;305.5;0.0;1;[];[];0.0;0.0;0;;;442.3838879207063;;
11;11;five;923;293;954;313;303.0;2.5;1;[];[];0.0;0.0;0;;;476.31152189700396;;
12;12;years;962;298;1010;318;308.0;5.0;1;[];[];0.0;0.0;0;;;505.4448214116354;;
13;13;old;1018;293;1042;313;303.0;5.0;1;[];[];0.0;0.0;0;;;555.6038461816477;;
14;14;children),;215;398;299;422;410.0;107.0;2;[4010];[29.17568];0.2749;0.2749;1;8.4325;6.1782;297.1109831221997;7.31;0.2749
15;15;followed;308;398;381;418;408.0;2.0;2;[];[];0.0;0.0;0;;;238.55150616133201;;
16;16;by;390;398;410;422;410.0;2.0;2;[4013];[0.0];0.5016;0.5016;1;10.1798;9.7286;217.08665249581796;9.95;0.5016
17;17;grades;418;398;477;422;410.0;0.0;2;[4011];[0.0];0.2911;0.2911;1;7.4069;7.1094;184.97388867578047;7.26;0.2911
18;18;1-6;487;398;515;418;408.0;2.0;2;[4012];[0.0];0.3073;0.3073;1;8.2135;8.0117;179.69493785813785;8.11;0.3073
19;19;(elementary;523;398;631;422;410.0;2.0;2;[4014];[18.730880000000013];0.3074;0.3074;1;9.6752;9.3155;173.96800000000007;9.5;0.3074
20;20;school),;639;398;709;422;410.0;0.0;2;[4015];[0.0];0.2747;0.2747;1;7.984;7.7923;200.23743978547074;7.89;0.2747
21;21;grades;718;398;777;422;410.0;0.0;2;[4016];[5.7760000000000105];0.259;0.259;1;8.8684;6.6984;249.00058211144813;7.78;0.259
22;22;7-8;786;398;814;418;408.0;2.0;2;[];[];0.0;0.0;0;;;303.7450462013167;;
23;23;(middle;823;398;890;422;410.0;2.0;2;[4017];[4.108159999999998];0.3071;0.3071;1;9.576;8.5526;332.32093206994955;9.06;0.3071
24;24;school),;898;398;967;422;410.0;0.0;2;[4018];[44.91027737515769];0.3558;0.3558;1;9.1575;9.0587;398.1636370788272;9.11;0.3558
25;25;grades;976;398;1036;422;410.0;0.0;2;[];[];0.0;0.0;0;;;469.5628233706753;;
26;26;9-;1044;398;1061;418;408.0;2.0;2;[];[];0.0;0.0;0;;;534.6372679601002;;
27;27;12;222;504;241;522;513.0;105.0;3;[];[];0.0;0.0;0;;;307.8705265072316;;
28;28;(high;250;503;295;527;515.0;2.0;3;[];[];0.0;0.0;0;;;254.38057844859148;;
29;29;school),;303;503;373;527;515.0;0.0;3;[];[];0.0;0.0;0;;;180.54484731456617;;
30;30;undergraduate;382;503;513;527;515.0;0.0;3;[];[];0.0;0.0;0;;;74.01120112415424;;
31;31;studies;521;503;583;522;512.5;2.5;3;[4009];[16.989120000000014];0.2428;0.2428;1;9.0292;7.8223;73.96800000000007;8.43;0.2428
32;32;(also;592;503;634;527;515.0;2.5;3;[4047];[25.437953425100876];0.2264;0.2264;1;7.9802;6.3874;86.4633765928674;7.18;0.2264
33;33;known;643;503;699;522;512.5;2.5;3;[4019];[8.45920000000001];0.194;0.194;1;10.1004;8.0522;126.9275773496052;9.08;0.194
34;34;as;707;508;726;522;515.0;2.5;3;[];[];0.0;0.0;0;;;182.78252512710293;;
35;35;going;734;508;781;527;517.5;2.5;3;[4023];[12.981786077670495];0.356;0.356;1;9.997;9.2649;206.03329898790633;9.63;0.356
36;36;to;790;504;806;522;513.0;4.5;3;[];[];0.0;0.0;0;;;260.8541483125005;;
37;37;college;814;503;876;527;515.0;2.0;3;[4024, 4026];[0.0, 24.21232371486879];0.6305;0.5332;2;8.7693;7.2299;282.68935652379986;8.0;0.3152
38;38;or;884;508;901;522;515.0;0.0;3;[];[];0.0;0.0;0;;;352.00647762767096;;
39;39;university),;909;503;1010;527;515.0;0.0;3;[4025];[0.0];0.3881;0.3881;1;10.6904;9.8913;375.5346059843753;10.29;0.3881
40;40;and;1019;503;1049;522;512.5;2.5;3;[];[];0.0;0.0;0;;;484.82296180341956;;
41;41;sometimes;208;608;305;627;617.5;105.0;4;[];[];0.0;0.0;0;;;235.1608102806248;;
42;42;people;314;608;371;632;620.0;2.5;4;[4020, 4027];[37.375999999999976, 14.417920000000095];0.631;0.3236;2;9.4813;8.9569;169.2809413130728;9.22;0.3155
43;43;can;379;613;408;627;620.0;0.0;4;[];[];0.0;0.0;0;;;132.94829781475204;;
44;44;then;417;608;455;627;617.5;2.5;4;[4028];[18.017599999999902];0.2914;0.2914;1;8.0673;7.4972;85.70161428958033;7.78;0.2914
45;45;go;464;613;484;632;622.5;5.0;4;[4021];[85.08704];0.3073;0.3073;1;8.4555;6.5442;58.391988250444065;7.5;0.3073
46;46;to;492;609;508;627;618.0;4.5;4;[];[];0.0;0.0;0;;;34.415605353385814;;
47;47;graduate;517;608;596;632;620.0;2.0;4;[4022, 4029, 4048];[90.13247999999999, 0.0, 12.031999999999925];1.0673;0.3557;3;8.1081;7.5478;12.031999999999925;7.83;0.3558
48;48;school;604;608;658;627;617.5;2.5;4;[];[];0.0;0.0;0;;;65.26585854671643;;
49;49;for;667;608;691;627;617.5;0.0;4;[4030];[9.594880000000103];0.3882;0.3882;1;8.3953;6.9872;127.71522811254732;7.69;0.3882
50;50;a;698;613;707;627;620.0;2.5;4;[];[];0.0;0.0;0;;;159.06170466784266;;
51;51;Master's;716;608;789;627;617.5;2.5;4;[4031];[5.939200000000028];0.3235;0.3235;1;9.0763;6.7279;176.557653733391;7.9;0.3235
52;52;or;797;613;814;627;620.0;2.5;4;[];[];0.0;0.0;0;;;257.71063519350537;;
53;53;other,;822;608;873;632;620.0;0.0;4;[];[];0.0;0.0;0;;;282.4036322214004;;
54;54;higher;883;608;939;632;620.0;0.0;4;[4032];[8.66303999999991];0.2588;0.2588;1;10.4666;9.4485;343.35807823879725;9.96;0.2588
55;55;degrees;946;608;1016;632;620.0;0.0;4;[4033];[0.0];0.2261;0.2261;1;10.7548;6.4506;406.3253832728642;8.6;0.2261
56;56;after;1024;608;1065;627;617.5;2.5;4;[];[];0.0;0.0;0;;;484.29668622843167;;
57;57;that.;287;713;327;732;722.5;105.0;5;[4034];[25.879794267373835];0.2911;0.2911;1;9.8573;9.4798;242.90492685789636;9.67;0.2911
58;58;Before;337;713;393;732;722.5;0.0;5;[4035];[1.7807999999999993];0.3398;0.3398;1;9.2666;7.6265;187.78241102893526;8.45;0.3398
59;59;kindergarten,;402;713;520;737;725.0;2.5;5;[4036, 4043];[0.0, 37.47764724517263];0.9059;0.4691;2;9.0056;8.5579;118.70392871274305;8.78;0.4529
60;60;it;530;713;540;732;722.5;2.5;5;[];[];0.0;0.0;0;;;117.03199999999993;;
61;61;is;549;713;561;732;722.5;0.0;5;[];[];0.0;0.0;0;;;117.38892746694631;;
62;62;not;569;714;597;732;723.0;0.5;5;[4044];[73.73440000000005];0.3881;0.3881;1;7.4836;6.1613;121.57759782065108;6.82;0.3881
63;63;uncommon;605;718;703;732;725.0;2.0;5;[4037];[46.880640000000085];0.4366;0.4366;1;9.0794;7.6218;138.33281133498292;8.35;0.4366
64;64;to;711;714;727;732;723.0;2.0;5;[4045];[76.37632000000008];0.3236;0.3236;1;9.1537;6.4567;207.90121955351773;7.81;0.3236
65;65;send;736;713;776;732;722.5;0.5;5;[4038];[27.85184000000004];0.3071;0.3071;1;8.5941;7.6267;228.40799699625225;8.11;0.3071
66;66;the;784;713;812;732;722.5;0.0;5;[];[];0.0;0.0;0;;;270.74775029876054;;
