;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2683;2684;587.4944;413.77792;0.32349;14.0156;13.0167;;;
2684;2685;577.2032;357.14048;0.2428;15.1627;13.6273;can;40.0;1.796799999999962
2685;2686;392.832;172.52352;0.19373;14.8;13.0358;mark;5.0;16.824474351087456
2686;2687;278.3616;82.39104;0.53381;15.3006;12.4804;tome;2.0;55.608959999999996
2687;2688;380.672;105.1136;0.29126;15.5351;13.0705;mark;5.0;34.48067993761143
2688;2689;483.45599999999996;69.76512;0.30713;15.6053;13.4029;learned;6.0;66.23488
2689;2690;571.6608;81.5104;0.3075;14.4543;11.7923;spells,;7.0;54.489599999999996
2690;2691;737.9584;66.67264;0.3396;15.2707;13.7532;keep;11.0;69.32736
2691;2692;880.3072;84.96128;0.27515;13.7936;12.2721;knowledge;14.0;51.03872
2692;2693;928.8191999999999;108.76928;0.2262;9.3479;11.5287;knowledge;14.0;27.230720000000005
2693;2694;297.6896;203.08992;0.42004;13.9772;12.1891;6.;17.0;37.910079999999994
2694;2695;329.90720000000005;217.5488;0.0647;10.1871;10.3771;pouch;19.0;23.99782059437897
2695;2696;418.3936;225.8944;0.24268;13.1683;11.0821;that;20.0;15.10560000000001
2696;2697;667.2256;225.3824;0.29102;13.2005;10.9721;items,;24.0;16.76597522126286
2697;2698;770.1247999999999;239.40096;0.24255;12.7732;11.6969;you;26.0;6.599040000000002
2698;2699;894.6048000000001;215.08096;0.30737;12.9294;12.3254;the;29.0;25.919039999999995
2699;2700;805.4912;272.32256;0.21021;13.1952;11.5023;to;27.0;12.32256000000001
2700;2701;514.944;320.01024;0.30774;11.8982;8.789;map;38.0;30.98975999999999
2701;2702;522.9184;325.81632;0.32349;13.3863;11.4969;that;39.0;24.052218128530242
2702;2703;665.6384;338.25792;0.32312;12.1659;10.491;mark;41.0;8.554399878799222
2703;2704;746.1376;333.12768;0.35571;13.7824;10.7981;explored;42.0;12.922490315043772
2704;2705;548.4032;333.24032;0.32336;12.7441;11.2463;that;39.0;12.759680000000003
2705;2706;683.84;325.888;0.50134;13.0533;11.9191;explored;42.0;20.112000000000023
2706;2707;846.784;324.6592;0.33972;14.1478;12.6307;territories,;43.0;21.3408
2707;2708;279.6032;386.9696;0.32349;10.9299;9.4251;acquired;33.0;16.969600000000014
2708;2709;596.032;424.36608;0.21021;12.3095;11.2603;can;40.0;59.36608000000001
2709;2710;699.136;446.14656;0.48535;11.7778;10.4084;explored;42.0;76.14656000000002
2710;2711;827.1487999999999;461.50656;0.37244;11.7101;10.658;territories,;43.0;91.50655999999998
2711;2712;871.3984;522.9568;0.33972;13.6683;11.9034;potion;76.0;33.043199999999956
2712;2713;933.5680000000001;619.56096;0.25854;13.4574;12.504;that;77.0;44.56096000000002
2713;2714;904.8703999999999;716.92288;0.19409;9.0329;8.6796;loops.;90.0;31.922879999999964
2714;2715;636.9408;790.02624;0.21021;12.0396;10.9913;retain;102.0;6.02624000000003
2715;2716;779.8528;771.21536;0.21033;13.3002;10.988;progress;104.0;1.852800000000002
