MEDIA_ID,MEDIA_NAME,CNT,TIME(2023/11/07 12:21:26.389),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
0,NewMedia0,17,0.27533,4214553793962,0.73317,0.60957,0.01617,0.25916,2,1,0.79618,0.51436,1,0.70156,0.22852,0, ,0,NOTRIAL,0.37055,0.83424,15.54821,0.96603,1,0.63857,0.84673,14.14702,0.97436,1,0,0.00000,13,3.40378,1,3.14832,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
0,NewMedia0,36,0.58240,4214556865087,0.78026,0.41115,0.33990,0.24249,3,1,0.71441,0.15595,1,0.80156,0.00000,0, ,0,NOTRIAL,0.36980,0.82999,15.76000,1.02719,1,0.63767,0.84203,14.26934,1.03681,1,0,0.00000,13,3.67414,1,3.51545,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,211.93413,73.47668,0,
0,NewMedia0,55,0.88971,4214559937839,0.74053,0.14433,0.64709,0.24261,4,1,0.75315,0.12293,1,0.88125,0.02051,0, ,0,NOTRIAL,0.37058,0.82624,15.39771,0.94923,1,0.63859,0.83800,14.19304,0.95757,1,0,0.00000,13,3.10242,1,2.96528,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,277.91611,100.54367,0,
0,NewMedia0,72,1.16461,4214562687007,0.82820,0.12329,0.90582,0.25879,5,1,0.84229,0.14436,1,0.88125,0.00488,0, ,0,NOTRIAL,0.37480,0.82761,15.42344,0.93521,1,0.64330,0.83999,14.40185,0.94354,1,0,0.00000,13,3.13287,1,2.95321,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,114.26704,10.86812,0,
0,NewMedia0,108,1.74695,4214568510240,0.57152,0.10426,1.22937,0.51758,6,1,0.80336,0.05454,1,0.88125,0.00488,0, ,0,NOTRIAL,0.37272,0.82651,13.81526,0.94923,1,0.64090,0.83916,12.70586,0.94923,1,0,0.00000,13,2.72623,1,2.68525,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,329.12781,176.60568,0,
0,NewMedia0,137,2.21600,4214573200822,0.84117,0.04044,1.81189,0.40411,7,1,0.73123,0.04478,1,0.87969,0.00488,0, ,0,NOTRIAL,0.37249,0.82770,15.75889,0.98270,1,0.64082,0.84039,14.60919,0.97436,1,0,0.00000,13,3.19110,1,2.93427,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,351.28452,10.72156,0,
0,NewMedia0,144,2.32916,4214574332613,0.66594,0.08724,2.23224,0.09692,8,1,0.32323,0.07103,1,0.87969,0.00488,0, ,0,NOTRIAL,0.36155,0.82716,15.25279,0.97410,1,0.63008,0.84137,15.20630,0.97410,1,0,0.00000,13,3.25279,1,3.85721,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,229.35698,192.06059,0,
0,NewMedia0,161,2.60406,4214577081595,0.18530,0.07448,2.39398,0.21008,9,1,0.08157,0.07311,1,0.87891,0.00586,0, ,0,NOTRIAL,0.35304,0.82764,14.72904,0.92595,1,0.62123,0.84040,14.55493,0.92595,1,0,0.00000,13,3.23776,1,2.96714,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,615.35797,178.78333,0,
0,NewMedia0,176,2.84674,4214579508514,0.13868,0.11450,2.62030,0.22644,10,1,0.43535,0.40877,1,0.87500,0.02051,0, ,0,NOTRIAL,0.36328,0.83495,15.24987,0.95770,1,0.63181,0.84813,14.30801,0.95770,1,0,0.00000,13,3.48196,1,3.11414,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,72.39018,214.47910,0,
0,NewMedia0,193,3.12207,4214582261663,0.51091,0.47045,2.91144,0.21063,11,1,0.79841,0.89285,1,1.76250,0.80664,0, ,0,NOTRIAL,0.37242,0.84569,15.92074,0.96694,1,0.64090,0.85916,15.20361,0.98257,1,0,0.00000,13,3.07100,1,2.94365,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,599.88647,322.58362,0,
0,NewMedia0,215,3.47760,4214585816635,0.82434,0.94263,3.18628,0.29132,12,1,1.07011,0.69909,1,1.78203,0.86230,0, ,0,NOTRIAL,0.37739,0.84375,15.03164,0.98270,1,0.64662,0.85686,15.14937,0.97436,1,0,0.00000,13,3.19954,1,3.29298,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,628.28168,309.68390,0,
0,NewMedia0,255,4.12494,4214592290339,1.09817,0.68692,3.54224,0.58270,13,1,1.00627,0.72077,1,1.89453,1.11133,0, ,0,NOTRIAL,0.37900,0.84394,14.60894,0.96616,1,0.64871,0.85787,9.29824,0.96616,1,0,0.00000,12,3.31180,1,2.65146,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,437.51105,36.76200,0,
0,NewMedia0,275,4.44818,4214595522418,0.80172,0.90364,4.18921,0.25897,14,1,0.76411,0.98314,1,1.90078,1.07324,0, ,0,NOTRIAL,0.37218,0.85132,15.44013,1.00796,1,0.64225,0.86548,15.60019,1.00796,1,0,0.00000,12,3.18354,1,3.03286,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,439.58609,210.32083,0,
0,NewMedia0,299,4.83618,4214599402677,0.83862,0.99007,4.46417,0.37201,15,1,0.19137,1.33385,1,1.68047,0.47656,0, ,0,NOTRIAL,0.36127,0.86110,14.64146,0.95928,1,0.64447,0.86776,15.09819,0.95928,0,0,0.00000,12,2.93130,1,3.04866,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,100.31886,298.08740,0,
0,NewMedia0,316,5.11121,4214602152883,0.02550,1.46958,4.90094,0.21027,16,1,-0.05787,1.53934,1,1.80547,0.28516,0, ,0,NOTRIAL,0.35361,0.86502,15.62283,0.94923,1,0.62204,0.87917,16.43177,0.94923,1,0,0.00000,12,3.71631,1,3.70458,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,1150.80420,205.25667,0,
0,NewMedia0,339,5.48315,4214605872657,-0.08331,1.54167,5.12744,0.35571,17,1,-0.07406,1.67000,1,1.81172,0.18457,0, ,0,NOTRIAL,0.35252,0.86716,13.77437,0.94923,1,0.61911,0.88257,14.48342,0.94923,1,0,0.00000,12,3.97097,1,3.13591,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,157.63068,207.92467,0,
