;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;One;266;503;308;521;[];0.0;512.0;;1;360.672;0;;;;
1;1;theory;327;502;414;526;[2303, 2308];0.6622;514.0;2.0;1;254.67200000000003;2;0.3311;17.3372;17.1698;17.25
2;2;is;433;502;458;521;[2309];0.372;511.5;2.5;1;210.67200000000003;1;0.372;17.3785;17.0214;17.2
3;3;that;477;502;533;521;[2302];0.2102;511.5;0.0;1;135.67200000000003;1;0.2102;16.7338;16.7809;16.76
4;4;this;552;502;608;521;[2304, 2310];0.5826;511.5;0.0;1;60.672000000000025;2;0.2913;17.3841;17.2447;17.31
5;5;helps;627;502;698;526;[2311];0.2749;514.0;2.5;1;0.0;1;0.2749;16.4671;14.8561;15.66
6;6;dogs;717;502;773;526;[2305];0.2428;514.0;0.0;1;48.327999999999975;1;0.2428;16.4821;15.8514;16.17
7;7;to;792;504;818;521;[];0.0;512.5;1.5;1;123.32799999999997;0;;;;
8;8;fall;838;502;892;521;[2306];0.2752;511.5;1.0;1;169.32799999999997;1;0.2752;17.9101;17.8667;17.89
9;9;asleep,.;912;502;1009;526;[2307];0.2913;514.0;2.5;1;243.32799999999997;1;0.2913;15.4186;14.8321;15.13
