;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;Since;208;241;254;260;[];0.0;0.0;0;;;250.5;;1;327.87319306189335;;;[]
1;1;2014,;263;241;312;265;[];0.0;0.0;0;;;253.0;2.5;1;275.18865152582435;;;[]
2;2;convolution;321;241;422;260;[2532.0];0.3235;0.3235;1;13.6702;13.8295;250.5;2.5;1;195.74201472499865;13.75;0.3235;[44.53536]
3;3;neural;432;241;485;260;[];0.0;0.0;0;;;250.5;0.0;1;164.08298488448335;;;[]
4;4;network,;495;241;571;265;[2533.0];0.291;0.291;1;13.6347;12.8228;253.0;2.5;1;148.14303999999998;13.23;0.291;[42.487359999999995]
5;5;which;580;241;629;260;[];0.0;0.0;0;;;250.5;2.5;1;157.33801170919122;;;[]
6;6;is;639;242;651;260;[];0.0;0.0;0;;;251.0;0.5;1;180.2632040339947;;;[]
7;7;a;659;246;667;260;[];0.0;0.0;0;;;253.0;2.0;1;191.56828215704604;;;[]
8;8;type;675;242;714;265;[];0.0;0.0;0;;;253.5;0.5;1;197.81517517268892;;;[]
9;9;of;722;241;738;260;[];0.0;0.0;0;;;250.5;3.0;1;234.88017440516685;;;[]
10;10;deep;745;241;787;265;[];0.0;0.0;0;;;253.0;2.5;1;249.76666616784874;;;[]
11;11;learning;796;241;866;265;[2534.0];0.2103;0.2103;1;14.6615;13.5157;253.0;0.0;1;292.39618111152134;14.09;0.2103;[49.88712912543274]
12;12;algorithms,;875;241;975;265;[];0.0;0.0;0;;;253.0;0.0;1;362.721220124494;;;[]
13;13;had;985;241;1015;260;[2535.0];0.3074;0.3074;1;14.5042;12.0653;250.5;2.5;1;466.91843605559376;13.28;0.3074;[2.0823436888275193]
14;14;been;1024;241;1065;260;[];0.0;0.0;0;;;250.5;0.0;1;503.92342149239465;;;[]
15;15;widely;219;346;275;370;[];0.0;0.0;0;;;358.0;107.5;2;272.3492704756185;;;[]
16;16;used;284;346;323;365;[];0.0;0.0;0;;;355.5;2.5;2;226.09546021227757;;;[]
17;17;in;333;346;346;365;[2536.0];0.2266;0.2266;1;15.4861;14.4587;355.5;0.0;2;203.68180755433607;14.97;0.2266;[8.565539889580776]
18;18;computer;355;347;440;370;[];0.0;0.0;0;;;358.5;3.0;2;112.51085782537433;;;[]
19;19;vision;447;346;497;365;[];0.0;0.0;0;;;355.5;3.0;2;67.21858320882401;;;[]
20;20;for;505;346;530;365;[];0.0;0.0;0;;;355.5;0.0;2;50.112388973203004;;;[]
21;21;image;538;346;591;370;[];0.0;0.0;0;;;358.0;2.5;2;43.143039999999985;;;[]
22;22;classification;599;346;711;365;[2538.0];0.1942;0.1942;1;15.5318;14.9029;355.5;2.5;2;73.16157685972604;15.22;0.1942;[1.5203200000000265]
23;23;and;719;346;750;365;[];0.0;0.0;0;;;355.5;0.0;2;181.58777582370902;;;[]
24;24;object;759;346;813;370;[];0.0;0.0;0;;;358.0;2.5;2;219.37378587379487;;;[]
25;25;detection.;821;346;908;365;[];0.0;0.0;0;;;355.5;2.5;2;281.2408198121347;;;[]
26;26;To;916;347;937;365;[];0.0;0.0;0;;;356.0;0.5;2;375.1911815709447;;;[]
27;27;train;945;346;985;365;[2537.0];0.2588;0.2588;1;14.6583;13.8481;355.5;0.5;2;403.96858730426254;14.25;0.2588;[30.515840000000026]
28;28;a;994;351;1002;365;[];0.0;0.0;0;;;358.0;2.5;2;452.65704493424334;;;[]
29;29;deep;1011;346;1053;370;[];0.0;0.0;0;;;358.0;0.0;2;469.07783610889317;;;[]
30;30;learning;230;450;299;475;[];0.0;0.0;0;;;462.5;104.5;3;247.66820451685274;;;[]
31;31;model,;309;450;368;475;[];0.0;0.0;0;;;462.5;0.0;3;179.73008743279905;;;[]
32;32;one;377;455;408;470;[];0.0;0.0;0;;;462.5;0.0;3;142.2098517283581;;;[]
33;33;will;416;450;443;470;[];0.0;0.0;0;;;460.0;2.5;3;107.43064892572137;;;[]
34;34;need;453;450;494;470;[2539.0];0.2101;0.2101;1;15.4827;10.735;460.0;0.0;3;62.04420624523775;13.11;0.2101;[9.874559999999974]
35;35;to;502;452;519;470;[];0.0;0.0;0;;;461.0;1.0;3;46.156162845297274;;;[]
36;36;set;527;452;553;470;[2560.0];0.0644;0.0644;1;15.7316;14.6741;461.0;0.0;3;38.856960000000015;15.2;0.0644;[38.856960000000015]
37;37;up;561;456;581;475;[];0.0;0.0;0;;;465.5;4.5;3;46.138632929483315;;;[]
38;38;a;589;455;598;470;[];0.0;0.0;0;;;462.5;3.0;3;61.52298049185851;;;[]
39;39;proper;607;456;665;475;[2543.0];0.21;0.21;1;15.8407;15.0272;465.5;3.0;3;76.26936900618493;15.43;0.21;[17.564160000000015]
40;40;modeling;673;450;753;475;[2542.0];0.2592;0.2592;1;15.857;15.1364;462.5;3.0;3;134.24812970243423;15.5;0.2592;[31.378559999999993]
41;41;process;763;455;829;475;[];0.0;0.0;0;;;465.0;2.5;3;223.05214172610317;;;[]
42;42;with:;837;450;879;470;[2540.0, 2541.0];0.4856;0.2267;2;15.2668;14.1348;460.0;5.0;3;295.3979504475304;14.7;0.2428;[35.31072, 27.860119826763125]
43;43;-;890;460;896;463;[];0.0;0.0;0;;;461.5;1.5;3;349.24717025138744;;;[]
44;44;Data;905;451;944;470;[];0.0;0.0;0;;;460.5;1.0;3;363.0686555578733;;;[]
45;45;collection,;953;450;1042;475;[];0.0;0.0;0;;;462.5;2.0;3;410.7465597282607;;;[]
46;46;cleaning;204;555;276;580;[];0.0;0.0;0;;;567.5;105.0;4;303.14910444961174;;;[]
47;47;and;285;555;315;575;[2544.0];0.2749;0.2749;1;14.9477;14.3693;565.0;2.5;4;269.3016307574122;14.66;0.2749;[13.812872091552828]
48;48;formatting;324;555;417;580;[];0.0;0.0;0;;;567.5;2.5;4;190.34086983252334;;;[]
49;49;-;426;565;432;567;[];0.0;0.0;0;;;566.0;1.5;4;188.63847414724705;;;[]
50;50;Feature;441;556;507;575;[];0.0;0.0;0;;;565.5;0.5;4;147.54825871084213;;;[]
